region_name,avg_state_qualification_score,pupil_teacher_ratio,science_lab_pct,internet_access_pct,gender_parity_index,literacy_proxy_ger,electricity_pct,toilets_pct,computers_pct,smart_class_pct,avg_teachers_per_school,official_state_cutoff,ag_quota_seats_allocated
ANDAMAN AND NICOBAR ISLANDS,0.0,9.0,0.0,58.0,1.16,88.6,92.0,100.0,68.7,45.1,14.0,0.0,0
ANDHRA PRADESH,0.0,15.0,61.9,93.9,1.02,79.2,99.7,99.0,87.3,44.4,6.0,0.0,0
ARUNACHAL PRADESH,0.0,13.0,52.9,30.5,1.1,57.0,58.0,76.1,42.6,21.2,7.0,0.0,0
ASSAM,0.0,14.0,28.8,45.0,1.2,56.3,86.3,91.1,67.9,11.3,6.0,0.0,0
BIHAR,0.0,37.0,23.0,18.5,1.11,37.8,78.3,94.3,19.6,12.1,7.0,0.0,0
CHANDIGARH,0.0,17.0,97.7,99.6,1.18,109.5,100.0,100.0,100.0,93.5,45.0,0.0,0
CHHATTISGARH,0.0,19.0,80.2,61.3,1.17,64.1,90.7,96.4,67.3,19.4,5.0,0.0,0
DADRA AND NAGAR HAVELI AND DAMAN AND DIU,0.0,22.0,0.0,0.0,1.4,79.2,0.0,0.0,0.0,0.0,12.0,0.0,0
DELHI,0.0,20.0,92.3,100.0,1.07,91.0,100.0,100.0,100.0,74.0,29.0,0.0,0
GOA,0.0,11.0,95.2,87.6,1.11,100.3,100.0,100.0,56.2,25.2,10.0,0.0,0
GUJARAT,0.0,29.0,46.7,93.9,1.01,58.7,99.9,99.0,98.0,61.3,7.0,0.0,0
HARYANA,0.0,15.0,76.5,67.7,1.02,77.0,99.4,99.7,96.6,46.2,11.0,0.0,0
HIMACHAL PRADESH,0.0,8.0,87.2,48.7,1.05,90.7,99.2,99.9,47.5,30.3,6.0,0.0,0
JAMMU AND KASHMIR,0.0,15.0,0.0,45.3,1.04,53.7,86.0,89.9,41.4,14.4,7.0,0.0,0
JHARKHAND,0.0,37.0,58.5,52.7,1.08,51.1,92.0,97.6,75.3,10.8,5.0,0.0,0
KARNATAKA,0.0,21.0,57.8,49.2,1.08,79.0,98.3,99.4,52.9,22.4,6.0,0.0,0
KERALA,0.0,16.0,73.7,92.1,1.03,93.0,99.8,99.9,99.4,58.0,18.0,0.0,0
LADAKH,0.0,7.0,75.0,45.7,1.21,66.0,74.0,96.0,53.0,30.5,6.0,0.0,0
LAKSHADWEEP,0.0,9.0,69.2,100.0,0.98,72.1,100.0,100.0,100.0,67.6,25.0,0.0,0
MADHYA PRADESH,0.0,25.0,62.7,43.3,1.01,55.5,85.0,92.7,49.3,17.7,5.0,0.0,0
MAHARASHTRA,0.0,26.0,76.3,67.5,1.0,80.7,87.9,96.1,81.5,60.1,7.0,0.0,0
MANIPUR,0.0,12.0,48.4,32.3,1.02,66.1,60.7,81.9,33.5,12.0,9.0,0.0,0
MEGHALAYA,0.0,12.0,31.3,24.5,1.37,61.7,26.8,76.4,18.8,3.8,4.0,0.0,0
MIZORAM,0.0,10.0,27.3,24.9,1.13,74.5,82.1,86.3,46.6,7.4,6.0,0.0,0
NAGALAND,0.0,11.0,42.3,56.3,1.18,50.0,73.2,81.9,84.3,30.7,12.0,0.0,0
ODISHA,0.0,22.0,77.4,82.0,1.04,70.2,95.8,99.1,59.4,27.6,5.0,0.0,0
PUDUCHERRY,0.0,13.0,79.6,100.0,1.13,96.4,100.0,100.0,100.0,65.9,18.0,0.0,0
PUNJAB,0.0,13.0,74.6,74.0,1.05,85.5,99.9,99.2,98.8,77.9,10.0,0.0,0
RAJASTHAN,0.0,16.0,26.7,68.3,0.96,71.1,90.3,88.9,51.6,20.0,7.0,0.0,0
SIKKIM,0.0,7.0,73.1,46.8,1.12,65.2,97.0,99.6,91.9,41.5,12.0,0.0,0
TAMIL NADU,0.0,17.0,85.5,99.0,1.07,89.5,99.0,97.1,72.7,7.9,9.0,0.0,0
TELANGANA,0.0,13.0,44.1,39.9,1.05,83.1,92.2,91.9,77.9,26.4,8.0,0.0,0
TRIPURA,0.0,14.0,33.5,35.3,1.11,67.2,76.1,82.5,49.3,13.8,8.0,0.0,0
UTTAR PRADESH,0.0,33.0,49.8,38.6,0.96,58.5,84.7,96.3,40.2,14.5,6.0,0.0,0
UTTARAKHAND,0.0,14.0,69.8,68.5,1.07,83.2,90.2,92.5,86.6,24.2,6.0,0.0,0
WEST BENGAL,0.0,28.0,37.7,17.5,1.16,83.4,97.0,99.9,22.3,4.7,6.0,0.0,0
