competition_region,total_qualifiers,female_qualifiers,avg_grade_standard,girls_quota_activations,region_clean,predicted_stem_capacity,structural_disparity_score
ANDHRA PRADESH,253,62,10.296442687747035,6,ANDHRA PRADESH,276.78,-23.779999999999973
ASSAM ARUNACHAL PRADESH,326,49,10.493865030674849,6,ASSAM ARUNACHAL PRADESH,310.04,15.95999999999998
CHHATTISGARH,271,59,10.387453874538746,6,CHHATTISGARH,275.19,-4.189999999999998
DELHI,265,15,10.705660377358493,0,DELHI,251.26,13.740000000000009
GUJARATDADRA AND NAGAR HAVELIDIU AND DAMAN,252,34,10.718253968253968,1,GUJARATDADRA AND NAGAR HAVELIDIU AND DAMAN,255.72,-3.719999999999999
JAMMU,101,21,10.811881188118813,5,JAMMU,148.42,-47.41999999999999
JAWAHAR NAVODAYA VIDYALAYAS,296,73,10.29391891891892,6,JAWAHAR NAVODAYA VIDYALAYAS,286.83,9.170000000000016
JHARKHAND,251,15,10.147410358565738,3,JHARKHAND,239.96,11.039999999999992
KARNATAKA,268,29,10.50373134328358,3,KARNATAKA,256.86,11.139999999999986
KASHMIR LADAKH,107,25,10.186915887850468,4,KASHMIR LADAKH,251.75,-144.75
KENDRIYA VIDYALAYAS,270,56,10.4,5,KENDRIYA VIDYALAYAS,270.2,-0.19999999999998863
KERALA LAKSHADEEP,275,62,10.727272727272728,5,KERALA LAKSHADEEP,275.9,-0.8999999999999773
MADHYA PRADESH,265,35,10.652830188679244,3,MADHYA PRADESH,256.4,8.600000000000023
MAHARASHTRA AND GOA,263,37,10.70722433460076,3,MAHARASHTRA AND GOA,260.23,2.769999999999982
MAHARASHTRA-MUMBAI,259,37,10.455598455598455,2,MAHARASHTRA-MUMBAI,258.62,0.37999999999999545
MEGHALAYA,4,1,10.25,0,MEGHALAYA,33.56,-29.560000000000002
NORTH BIHAR,252,16,10.626984126984128,3,NORTH BIHAR,248.48,3.5200000000000102
NORTH WEST,276,31,10.807971014492754,4,NORTH WEST,225.34,50.66
ODISHA,287,67,10.421602787456449,6,ODISHA,284.39,2.6100000000000136
RAJASTHAN,257,21,10.73929961089494,0,RAJASTHAN,249.53,7.469999999999999
SIKKIM,31,13,10.67741935483871,4,SIKKIM,122.37,-91.37
SOUTH BIHAR,292,35,10.407534246575343,3,SOUTH BIHAR,256.45,35.55000000000001
TAMIL NADU PUDUCHERRY,270,40,10.64074074074074,4,TAMIL NADU PUDUCHERRY,269.37,0.6299999999999955
TELANGANA,255,39,10.580392156862745,3,TELANGANA,256.7,-1.6999999999999886
TRIPURA,79,3,10.050632911392404,0,TRIPURA,62.31,16.689999999999998
UTTAR PRADESH,276,23,10.71376811594203,1,UTTAR PRADESH,250.21,25.789999999999992
UTTARAKHAND,276,49,10.42753623188406,6,UTTARAKHAND,281.64,-5.639999999999986
WEST BENGAL,257,26,10.536964980544749,3,WEST BENGAL,251.43,5.569999999999993
